mmsi,dt,status,vesseltype,sog_mean,sog_min,sog_max,sog_std,count,length,width,draft,vessel,autoencode_loss
368272000,2015-01-28 09:00:00,under way using engine,1001,0.048076923076923093,0.0,0.1,0.05045045954972344,52,83.0,16.5,7.209999999999995,fishing,0.1518041044473648
368272000,2015-01-28 10:00:00,under way using engine,1001,0.040384615384615394,0.0,0.1,0.04954544511074373,52,83.0,16.5,7.209999999999995,fishing,0.15311084687709808
368272000,2016-01-30 06:00:00,engaged in fishing,1001,2.7615384615384615,1.0,4.1,0.9391597926544574,52,83.0,16.5,7.199999999999993,fishing,0.1596529334783554
368293000,2016-01-28 04:00:00,under way using engine,1001,4.634615384615386,0.4,11.9,3.8623819032842284,52,114.60000000000007,18.27999999999998,3.5999999999999965,fishing,0.1638479232788086
368293000,2016-01-28 05:00:00,under way using engine,1001,4.511538461538462,3.4,6.3,0.5177833016922352,52,114.60000000000007,18.27999999999998,3.5999999999999965,fishing,0.15808610618114471
368313000,2015-01-17 09:00:00,undefined,1001,8.566666666666666,7.6,9.1,0.5278888771954442,6,25.849999999999998,7.36,0.0,fishing,0.17541633546352386
368313000,2015-01-17 10:00:00,undefined,1001,8.368750000000002,7.5,9.4,0.3537977845329525,48,25.849999999999998,7.360000000000009,0.0,fishing,0.2023632824420929
368313000,2015-01-17 11:00:00,undefined,1001,7.754901960784314,6.7,8.9,0.5390041652863907,51,25.849999999999994,7.360000000000009,0.0,fishing,0.20771169662475586
368313000,2015-01-17 12:00:00,undefined,1001,6.894117647058823,5.9,7.6,0.343750935827603,51,25.849999999999994,7.360000000000009,0.0,fishing,0.17754410207271576
368313000,2017-01-26 06:00:00,undefined,1001,8.290196078431373,7.7,9.0,0.3562330147309675,51,25.849999999999994,7.360000000000009,0.0,fishing,0.1536465734243393
368313000,2017-01-26 07:00:00,undefined,1001,7.778846153846152,7.1,9.0,0.4586153664004754,52,25.84999999999999,7.360000000000009,0.0,fishing,0.16684064269065857
368313000,2017-01-26 08:00:00,undefined,1001,8.096153846153843,7.0,8.9,0.39850777464875803,52,25.84999999999999,7.360000000000009,0.0,fishing,0.16336892545223236
368339000,2016-01-25 10:00:00,undefined,1001,0.0,0.0,0.0,0.0,45,17.649999999999988,6.709999999999998,0.0,fishing,0.1660611778497696
368339000,2016-01-25 11:00:00,undefined,1001,0.0,0.0,0.0,0.0,42,17.649999999999988,6.71,0.0,fishing,0.18106281757354736
368339000,2016-01-25 12:00:00,undefined,1001,0.0,0.0,0.0,0.0,46,17.649999999999988,6.709999999999998,0.0,fishing,0.17095762491226196
368339000,2017-01-29 09:00:00,undefined,1001,0.015555555555555555,0.0,0.1,0.03665288997383895,45,17.649999999999988,6.709999999999998,0.0,fishing,0.17942513525485992
368339000,2017-01-29 10:00:00,undefined,1001,0.00681818181818182,0.0,0.1,0.02549717059293527,44,17.649999999999988,6.709999999999999,0.0,fishing,0.19136030972003937
